pile1,pile2,pile3
11,11,0
11,12,7
11,13,6
11,14,5
11,15,4
11,16,27
11,17,26
11,18,25
11,19,24
11,20,31
11,21,30
11,22,29
11,23,28
11,24,19
11,25,18
11,26,17
11,27,16
11,28,23
11,29,22
11,30,21
11,31,20
11,32,43
11,33,42
11,34,41
11,35,40
11,36,47
11,37,46
11,38,45
11,39,44
11,40,35
11,41,34
11,42,33
11,43,32
11,44,39
11,45,38
11,46,37
11,47,36
11,48,59
11,49,58
11,50,57
11,51,56
11,52,63
11,53,62
11,54,61
11,55,60
11,56,51
11,57,50
11,58,49
11,59,48
11,60,55
11,61,54
11,62,53
11,63,52
11,64,75
11,65,74
11,66,73
11,67,72
11,68,79
11,69,78
11,70,77
11,71,76
11,72,67
11,73,66
11,74,65
11,75,64
11,76,71
11,77,70
11,78,69
11,79,68
11,80,91
11,81,90
11,82,89
11,83,88
11,84,95
11,85,94
11,86,93
11,87,92
11,88,83
11,89,82
11,90,81
11,91,80
11,92,87
11,93,86
11,94,85
11,95,84
12,0,12
12,1,13
12,2,14
12,3,15
12,4,8
12,5,9
12,6,10
12,7,11
12,8,4
12,9,5
12,10,6
12,11,7
12,12,0
12,13,1
12,14,2
12,15,3
12,16,28
12,17,29
12,18,30
12,19,31
12,20,24
12,21,25
12,22,26
12,23,27
12,24,20
12,25,21
12,26,22
12,27,23
12,28,16
12,29,17
12,30,18
12,31,19
12,32,44
12,33,45
12,34,46
12,35,47
12,36,40
12,37,41
12,38,42
12,39,43
12,40,36
12,41,37
12,42,38
12,43,39
12,44,32
12,45,33
12,46,34
12,47,35
12,48,60
12,49,61
12,50,62
12,51,63
12,52,56
12,53,57
12,54,58
12,55,59
12,56,52
12,57,53
12,58,54
12,59,55
12,60,48
12,61,49
12,62,50
12,63,51
12,64,76
12,65,77
12,66,78
12,67,79
12,68,72
12,69,73
12,70,74
12,71,75
12,72,68
12,73,69
12,74,70
12,75,71
12,76,64
12,77,65
12,78,66
12,79,67
12,80,92
12,81,93
12,82,94
12,83,95
12,84,88
12,85,89
12,86,90
12,87,91
12,88,84
12,89,85
12,90,86
12,91,87
12,92,80
12,93,81
12,94,82
12,95,83
13,0,13
13,1,12
13,2,15
13,3,14
13,4,9
13,5,8
13,6,11
13,7,10
13,8,5
13,9,4
13,10,7
13,11,6
13,12,1
13,13,0
13,14,3
13,15,2
13,16,29
13,17,28
13,18,31
13,19,30
13,20,25
13,21,24
13,22,27
13,23,26
13,24,21
13,25,20
13,26,23
13,27,22
13,28,17
13,29,16
13,30,19
13,31,18
13,32,45
13,33,44
13,34,47
13,35,46
13,36,41
13,37,40
13,38,43
13,39,42
13,40,37
13,41,36
13,42,39
13,43,38
13,44,33
13,45,32
13,46,35
13,47,34
13,48,61
13,49,60
13,50,63
13,51,62
13,52,57
13,53,56
13,54,59
13,55,58
13,56,53
13,57,52
13,58,55
13,59,54
13,60,49
13,61,48
13,62,51
13,63,50
13,64,77
13,65,76
13,66,79
13,67,78
13,68,73
13,69,72
13,70,75
13,71,74
13,72,69
13,73,68
13,74,71
13,75,70
13,76,65
13,77,64
13,78,67
13,79,66
13,80,93
13,81,92
13,82,95
13,83,94
13,84,89
13,85,88
13,86,91
13,87,90
13,88,85
13,89,84
13,90,87
13,91,86
13,92,81
13,93,80
13,94,83
13,95,82
14,0,14
14,1,15
14,2,12
14,3,13
14,4,10
14,5,11
14,6,8
14,7,9
14,8,6
14,9,7
14,10,4
14,11,5
14,12,2
14,13,3
14,14,0
14,15,1
14,16,30
14,17,31
14,18,28
14,19,29
14,20,26
14,21,27
14,22,24
14,23,25
14,24,22
14,25,23
14,26,20
14,27,21
14,28,18
14,29,19
14,30,16
14,31,17
14,32,46
14,33,47
14,34,44
14,35,45
14,36,42
14,37,43
14,38,40
14,39,41
14,40,38
14,41,39
14,42,36
14,43,37
14,44,34
14,45,35
14,46,32
14,47,33
14,48,62
14,49,63
14,50,60
14,51,61
14,52,58
14,53,59
14,54,56
14,55,57
14,56,54
14,57,55
14,58,52
14,59,53
14,60,50
14,61,51
14,62,48
14,63,49
14,64,78
14,65,79
14,66,76
14,67,77
14,68,74
14,69,75
14,70,72
14,71,73
14,72,70
14,73,71
14,74,68
14,75,69
14,76,66
14,77,67
14,78,64
14,79,65
14,80,94
14,81,95
14,82,92
14,83,93
14,84,90
14,85,91
14,86,88
14,87,89
14,88,86
14,89,87
14,90,84
14,91,85
14,92,82
14,93,83
14,94,80
14,95,81
15,0,15
15,1,14
15,2,13
15,3,12
15,4,11
15,5,10
15,6,9
15,7,8
15,8,7
15,9,6
15,10,5
15,11,4
15,12,3
15,13,2
15,14,1
15,15,0
15,16,31
15,17,30
15,18,29
15,19,28
15,20,27
15,21,26
15,22,25
15,23,24
15,24,23
15,25,22
15,26,21
15,27,20
15,28,19
15,29,18
15,30,17
15,31,16
15,32,47
15,33,46
15,34,45
15,35,44
15,36,43
15,37,42
15,38,41
15,39,40
15,40,39
15,41,38
15,42,37
15,43,36
15,44,35
15,45,34
15,46,33
15,47,32
15,48,63
15,49,62
15,50,61
15,51,60
15,52,59
15,53,58
15,54,57
15,55,56
15,56,55
15,57,54
15,58,53
15,59,52
15,60,51
15,61,50
15,62,49
15,63,48
15,64,79
15,65,78
15,66,77
15,67,76
15,68,75
15,69,74
15,70,73
15,71,72
15,72,71
15,73,70
15,74,69
15,75,68
15,76,67
15,77,66
15,78,65
15,79,64
15,80,95
15,81,94
15,82,93
15,83,92
15,84,91
15,85,90
15,86,89
15,87,88
15,88,87
15,89,86
15,90,85
15,91,84
15,92,83
15,93,82
15,94,81
15,95,80
16,0,16
16,1,17
16,2,18
16,3,19
16,4,20
16,5,21
16,6,22
16,7,23
16,8,24
16,9,25
16,10,26
16,11,27
16,12,28
16,13,29
16,14,30
16,15,31
16,16,0
16,17,1
16,18,2
16,19,3
16,20,4
16,21,5
16,22,6
16,23,7
16,24,8
16,25,9
16,26,10
16,27,11
16,28,12
16,29,13
16,30,14
16,31,15
16,32,48
16,33,49
16,34,50
16,35,51
16,36,52
16,37,53
16,38,54
16,39,55
16,40,56
16,41,57
16,42,58
16,43,59
16,44,60
16,45,61
16,46,62
16,47,63
16,48,32
16,49,33
16,50,34
16,51,35
16,52,36
16,53,37
16,54,38
16,55,39
16,56,40
16,57,41
16,58,42
16,59,43
16,60,44
16,61,45
16,62,46
16,63,47
16,64,80
16,65,81
16,66,82
16,67,83
16,68,84
16,69,85
16,70,86
16,71,87
16,72,88
16,73,89
16,74,90
16,75,91
16,76,92
16,77,93
16,78,94
16,79,95
16,80,64
16,81,65
16,82,66
16,83,67
16,84,68
16,85,69
16,86,70
16,87,71
16,88,72
16,89,73
16,90,74
16,91,75
16,92,76
16,93,77
16,94,78
16,95,79
17,0,17
17,1,16
17,2,19
17,3,18
17,4,21
17,5,20
17,6,23
17,7,22
17,8,25
17,9,24
17,10,27
17,11,26
17,12,29
17,13,28
17,14,31
17,15,30
17,16,1
17,17,0
17,18,3
17,19,2
17,20,5
17,21,4
17,22,7
17,23,6
17,24,9
17,25,8
17,26,11
17,27,10
17,28,13
17,29,12
17,30,15
17,31,14
17,32,49
17,33,48
17,34,51
17,35,50
17,36,53
17,37,52
17,38,55
17,39,54
17,40,57
17,41,56
17,42,59
17,43,58
17,44,61
17,45,60
17,46,63
17,47,62
17,48,33
17,49,32
17,50,35
17,51,34
17,52,37
17,53,36
17,54,39
17,55,38
17,56,41
17,57,40
17,58,43
17,59,42
17,60,45
17,61,44
17,62,47
17,63,46
17,64,81
17,65,80
17,66,83
17,67,82
17,68,85
17,69,84
17,70,87
17,71,86
17,72,89
17,73,88
17,74,91
17,75,90
17,76,93
17,77,92
17,78,95
17,79,94
17,80,65
17,81,64
17,82,67
17,83,66
17,84,69
17,85,68
17,86,71
17,87,70
17,88,73
17,89,72
17,90,75
17,91,74
17,92,77
17,93,76
17,94,79
17,95,78
18,0,18
18,1,19
18,2,16
18,3,17
18,4,22
18,5,23
18,6,20
18,7,21
18,8,26
18,9,27
18,10,24
18,11,25
18,12,30
18,13,31
18,14,28
18,15,29
18,16,2
18,17,3
18,18,0
18,19,1
18,20,6
18,21,7
18,22,4
18,23,5
18,24,10
18,25,11
18,26,8
18,27,9
18,28,14
18,29,15
18,30,12
18,31,13
18,32,50
18,33,51
18,34,48
18,35,49
18,36,54
18,37,55
18,38,52
18,39,53
18,40,58
18,41,59
18,42,56
18,43,57
18,44,62
18,45,63
18,46,60
18,47,61
18,48,34
18,49,35
18,50,32
18,51,33
18,52,38
18,53,39
18,54,36
18,55,37
18,56,42
18,57,43
18,58,40
18,59,41
18,60,46
18,61,47
18,62,44
18,63,45
18,64,82
18,65,83
18,66,80
18,67,81
18,68,86
18,69,87
18,70,84
18,71,85
18,72,90
18,73,91
18,74,88
18,75,89
18,76,94
18,77,95
18,78,92
18,79,93
18,80,66
18,81,67
18,82,64
18,83,65
18,84,70
18,85,71
18,86,68
18,87,69
18,88,74
18,89,75
18,90,72
18,91,73
18,92,78
18,93,79
18,94,76
18,95,77
19,0,19
19,1,18
19,2,17
19,3,16
19,4,23
19,5,22
19,6,21
19,7,20
19,8,27
19,9,26
19,10,25
19,11,24
19,12,31
19,13,30
19,14,29
19,15,28
19,16,3
19,17,2
19,18,1
19,19,0
19,20,7
19,21,6
19,22,5
19,23,4
19,24,11
19,25,10
19,26,9
19,27,8
19,28,15
19,29,14
19,30,13
19,31,12
19,32,51
19,33,50
19,34,49
19,35,48
19,36,55
19,37,54
19,38,53
19,39,52
19,40,59
19,41,58
19,42,57
19,43,56
19,44,63
19,45,62
19,46,61
19,47,60
19,48,35
19,49,34
19,50,33
19,51,32
19,52,39
19,53,38
19,54,37
19,55,36
19,56,43
19,57,42
19,58,41
19,59,40
19,60,47
19,61,46
19,62,45
19,63,44
19,64,83
19,65,82
19,66,81
19,67,80
19,68,87
19,69,86
19,70,85
19,71,84
19,72,91
19,73,90
19,74,89
19,75,88
19,76,95
19,77,94
19,78,93
19,79,92
19,80,67
19,81,66
19,82,65
19,83,64
19,84,71
19,85,70
19,86,69
19,87,68
19,88,75
19,89,74
19,90,73
19,91,72
19,92,79
19,93,78
19,94,77
19,95,76
20,0,20
20,1,21
20,2,22
20,3,23
20,4,16
20,5,17
20,6,18
20,7,19
20,8,28
20,9,29
20,10,30
20,11,31
20,12,24
20,13,25
20,14,26
20,15,27
20,16,4
20,17,5
20,18,6
20,19,7
20,20,0
20,21,1
20,22,2
20,23,3
20,24,12
20,25,13
20,26,14
20,27,15
20,28,8
20,29,9
20,30,10
20,31,11
20,32,52
20,33,53
20,34,54
20,35,55
20,36,48
20,37,49
20,38,50
20,39,51
20,40,60
20,41,61
20,42,62
20,43,63
20,44,56
20,45,57
20,46,58
20,47,59
20,48,36
20,49,37
20,50,38
20,51,39
20,52,32
20,53,33
20,54,34
20,55,35
20,56,44
20,57,45
20,58,46
20,59,47
20,60,40
20,61,41
20,62,42
20,63,43
20,64,84
20,65,85
20,66,86
20,67,87
20,68,80
20,69,81
20,70,82
20,71,83
20,72,92
20,73,93
20,74,94
20,75,95
20,76,88
20,77,89
20,78,90
20,79,91
20,80,68
20,81,69
20,82,70
20,83,71
20,84,64
20,85,65
20,86,66
20,87,67
20,88,76
20,89,77
20,90,78
20,91,79
20,92,72
20,93,73
20,94,74
20,95,75
21,0,21
21,1,20
21,2,23
21,3,22
21,4,17
21,5,16
21,6,19
21,7,18
21,8,29
21,9,28
21,10,31
21,11,30
21,12,25
21,13,24
21,14,27
21,15,26
21,16,5
21,17,4
21,18,7
21,19,6
21,20,1
21,21,0
21,22,3
21,23,2
21,24,13
21,25,12
21,26,15
21,27,14
21,28,9
21,29,8
21,30,11
21,31,10
21,32,53
21,33,52
21,34,55
21,35,54
21,36,49
21,37,48
21,38,51
21,39,50
21,40,61
21,41,60
21,42,63
21,43,62
21,44,57
21,45,56
21,46,59
21,47,58
21,48,37
21,49,36
21,50,39
21,51,38
21,52,33
21,53,32
21,54,35
21,55,34
21,56,45
21,57,44
21,58,47
21,59,46
21,60,41
21,61,40
21,62,43
21,63,42
21,64,85
21,65,84
21,66,87
21,67,86
21,68,81
21,69,80
21,70,83
21,71,82
21,72,93
21,73,92
21,74,95
21,75,94
21,76,89
21,77,88
21,78,91
21,79,90
21,80,69
21,81,68
21,82,71
21,83,70
21,84,65
21,85,64
21,86,67
21,87,66
21,88,77
21,89,76
21,90,79
21,91,78
21,92,73
21,93,72
21,94,75
21,95,74
22,0,22
22,1,23
22,2,20
22,3,21
22,4,18
22,5,19
22,6,16
22,7,17
22,8,30
22,9,31
22,10,28
22,11,29
22,12,26
22,13,27
22,14,24
22,15,25
22,16,6
22,17,7
22,18,4
22,19,5
22,20,2
22,21,3
22,22,0
22,23,1
22,24,14
22,25,15
22,26,12
22,27,13
22,28,10
22,29,11
22,30,8
22,31,9
22,32,54
22,33,55
22,34,52
22,35,53
22,36,50
22,37,51
22,38,48
22,39,49
22,40,62
22,41,63
22,42,60
22,43,61
22,44,58
22,45,59
22,46,56
22,47,57
22,48,38
22,49,39
22,50,36
22,51,37
22,52,34
22,53,35
22,54,32
22,55,33
22,56,46
22,57,47
22,58,44
22,59,45
22,60,42
22,61,43
22,62,40
22,63,41
22,64,86
22,65,87
22,66,84
22,67,85
22,68,82
22,69,83
22,70,80
22,71,81
22,72,94
22,73,95
22,74,92
22,75,93
22,76,90
22,77,91
22,78,88
22,79,89
22,80,70
22,81,71
22,82,68
22,83,69
22,84,66
22,85,67
22,86,64
22,87,65
22,88,78
22,89,79
22,90,76
22,91,77
22,92,74
22,93,75
22,94,72
22,95,73
23,0,23
23,1,22
23,2,21
23,3,20
23,4,19
23,5,18
23,6,17
23,7,16
23,8,31
23,9,30
23,10,29
23,11,28
23,12,27
23,13,26
23,14,25
23,15,24
23,16,7
23,17,6
23,18,5
23,19,4
23,20,3
23,21,2
23,22,1
23,23,0
23,24,15
23,25,14
23,26,13
23,27,12
23,28,11
23,29,10
23,30,9
23,31,8
23,32,55
23,33,54
23,34,53
23,35,52
23,36,51
23,37,50
23,38,49
23,39,48
23,40,63
23,41,62
23,42,61
23,43,60
23,44,59
23,45,58
23,46,57
23,47,56
23,48,39
23,49,38
23,50,37
23,51,36
23,52,35
23,53,34
23,54,33
23,55,32
23,56,47
23,57,46
23,58,45
23,59,44
23,60,43
23,61,42
23,62,41
23,63,40
23,64,87
23,65,86
23,66,85
23,67,84
23,68,83
23,69,82
23,70,81
23,71,80
23,72,95
23,73,94
23,74,93
23,75,92
23,76,91
23,77,90
23,78,89
23,79,88
23,80,71
23,81,70
23,82,69
23,83,68
23,84,67
23,85,66
23,86,65
23,87,64
23,88,79
23,89,78
23,90,77
23,91,76
